id,name,category,website,does,auth,auth_detail,gate,gate_detail,surface,breadth,mcp,verdict,blocker,evidence,confidence,notes
1,Salesforce,CRM & Sales,salesforce.com,"Comprehensive CRM platform for sales, service, marketing, and more.",OAuth2,"OAuth2 for external applications via Connected Apps, API key/password for direct SOAP/REST API calls.",Open self-serve,Developers can sign up for a free developer edition org to obtain credentials.,REST + GraphQL,"Extremely broad, covering almost all platform functionalities including CRM, platform, metadata, and tooling.",Yes (official),Ready,,developer.salesforce.com/docs/,5,
2,HubSpot,CRM & Sales,hubspot.com,"All-in-one CRM platform offering marketing, sales, service, CMS, and operations hubs.",OAuth2,"OAuth2 for public apps, private apps use API keys (legacy API keys are being deprecated).",Open self-serve,Developers can create a free developer account to manage apps and obtain credentials.,Documented REST,"Very broad, covering most CRM, marketing, sales, and service functionalities.",Yes (official),Ready,,developers.hubspot.com/docs/api/overview,5,
3,Pipedrive,CRM & Sales,pipedrive.com,Sales CRM and pipeline management tool for small and medium-sized businesses.,API key,"Personal API tokens for direct integrations, OAuth2 for marketplace apps.",Open self-serve,Users can find their personal API token in their Pipedrive account settings. Developers can register apps for OAuth2.,Documented REST,"Good, covers core CRM entities like deals, persons, organizations, activities.",Yes (official),Ready,,developers.pipedrive.com/docs/api/v1,4,
4,Attio,CRM & Sales,attio.com,"A flexible, programmable CRM platform that combines a database with a CRM.",API key,"Personal API tokens for direct access, OAuth2 for third-party applications.",Open self-serve,Users can generate API keys from their Attio workspace settings.,Documented REST,"Good, covers core data models like objects, records, lists, attributes.",No,Ready,,docs.attio.com/reference/api,3,
5,Twenty,CRM & Sales,twenty.com,An open-source CRM platform designed for modern businesses.,API key,Personal access tokens for direct API access. OAuth2 is likely for broader integrations.,Open self-serve,"Users deploy their own instance, API keys are generated within the deployed application.",Documented REST,"Decent, covers core CRM entities like contacts, companies, deals, activities.",No,Ready,,docs.twenty.com/api-reference/,3,
6,Podio,CRM & Sales,podio.com,"A customizable work management and collaboration platform, often used as a flexible CRM.",OAuth2,OAuth2 is the primary method for external applications.,Open self-serve,Developers can register applications on the Podio developer portal to obtain client ID/secret for OAuth2.,Documented REST,"Broad, allows interaction with workspaces, apps, items, tasks, and users.",Yes (official),Ready,,developers.podio.com/doc/api,4,
7,Zoho CRM,CRM & Sales,zoho.com/crm,"A comprehensive CRM solution part of the broader Zoho ecosystem, focusing on sales and marketing automation.",OAuth2,"OAuth2 for most modern integrations, client ID/secret for app registration.",Open self-serve,Developers can register their applications in the Zoho API Console to get OAuth2 credentials.,Documented REST,"Very broad, covering all CRM modules like leads, accounts, contacts, deals, tasks, custom modules.",Yes (official),Ready,,www.zoho.com/crm/developer/docs/api/v5/,4,
8,Close,CRM & Sales,close.com,"A sales CRM designed for sales teams to make calls, send emails, and manage leads.",API key,Personal API keys generated within the user's account.,Open self-serve,Users can generate API keys from their Close account settings.,Documented REST,"Good, covers leads, contacts, opportunities, activities, calls, emails.",No,Ready,,developer.close.com/api/v1/,4,
9,Copper,CRM & Sales,copper.com,"A CRM built for Google Workspace users, focusing on relationship management.",OAuth2,"OAuth2 for public integrations, API keys for private/internal apps.",Open self-serve,Developers can register their applications to get OAuth2 credentials.,Documented REST,"Good, covers leads, people, companies, opportunities, projects, tasks.",Yes (official),Ready,,developer.copper.com/,4,
10,DealCloud,CRM & Sales,api.docs.dealcloud.com,A CRM and deal management platform specifically for financial services firms.,API key,Typically API keys or client credentials for enterprise systems. OAuth2 might be available for specific partner integrations.,Contact sales / partner,API access is usually provisioned after discussions with sales or as part of a partnership agreement.,Documented REST,"Likely broad for financial services entities (deals, firms, contacts, activities).",No,Ready with caveats,"API access requires enterprise agreement/contacting sales, not self-serve.",api.docs.dealcloud.com,3,
