id,name,category,does,auth,gate,surface,breadth,mcp,verdict,blocker,evidence,confidence,notes
1,Salesforce,CRM and Sales,Enterprise CRM platform (Sales Cloud),OAuth2,Gated,Full REST,"~700+ objects, huge",Yes,Ready with caveats,Developer org signup is free but API access needs Enterprise/Unlimited edition,https://developer.salesforce.com/docs/einstein/genai/references/rest-api,3,developer.salesforce.com returns 403 to bots; REST API verified live in browser | Pass2 | Pass2: API gated by edition; free dev org is the caveat
2,HubSpot,CRM and Sales,Inbound CRM + marketing suite,OAuth2,Self-serve,Full REST,200+ endpoints,Yes,Ready,,https://developers.hubspot.com/docs/api/overview,3,Free CRM tier includes private-app tokens; OAuth for multi-tenant.
3,Pipedrive,CRM and Sales,Sales-focused CRM for SMBs,API key,Self-serve,Full REST,~100 endpoints,Yes,Ready,,https://developer.pipedrive.com/docs/api/v1,3,
4,Attio,CRM and Sales,Modern data-model-first CRM,Bearer token,Self-serve,Full REST,~90 endpoints,Yes,Ready,,https://docs.attio.com/rest-api/overview,4,Pass2: REST API overview live (200)
5,Twenty,CRM and Sales,Open-source CRM (Salesforce alternative),Bearer token,Open,Full REST,"REST + GraphQL, ~80 endpoints",Yes,Ready,,https://docs.twenty.com/developer-docs/docs/rest-api/introduction,3,docs.twenty.com paths return 404 to bots (SPA restructure); REST+GraphQL verified via search snippets and GitHub | Pass2
6,Podio,CRM and Sales,Customizable work management + CRM,OAuth2,Self-serve,Full REST,~200 endpoints,No,Ready with caveats,Aging API; app-auth model adds friction,https://developers.podio.com/authentication,2,Progress-owned; API stable but barely updated.
7,Zoho CRM,CRM and Sales,SMB/enterprise CRM suite,OAuth2,Self-serve,Full REST,~150 endpoints,Yes,Ready,API quota depends on plan tier,https://www.zoho.com/crm/developer/docs/api/v6/,3,
8,Close,CRM and Sales,Sales CRM for startups (email-calling native),API key,Self-serve,Full REST,~150 endpoints,Yes,Ready,,https://developer.close.com,3,
9,Copper,CRM and Sales,Google-Workspace-native CRM,API key,Self-serve,Full REST,~70 endpoints,Yes,Ready,API needs paid plan (Professional+),https://developer.copper.com,3,
10,DealCloud,CRM and Sales,Financial-services CRM (Intapp),API key,Gated,Full REST,~100 endpoints,No,Blocked,Vendor onboarding; API credentials provisioned by admin/Intapp,https://api.docs.dealcloud.com/,3,Docs public; credentials provisioned per client by Intapp - gated access | Pass2 | Pass2: api.docs.dealcloud.com references API-key authentication
11,Zendesk,Support and Helpdesk,Customer-support ticketing suite,Bearer token,Self-serve,Full REST,~300 endpoints,Yes,Ready,"API on all plans, trial available",https://developer.zendesk.com/api-reference,3,developer.zendesk.com returns 403 to bots; API reference verified live in browser | Pass2
12,Intercom,Support and Helpdesk,Customer-messaging + support platform,Bearer token,Self-serve,Full REST,~150 endpoints,Yes,Ready,,https://developers.intercom.com/docs/references/rest-api/api.intercom.io,3,
13,Freshdesk,Support and Helpdesk,Freshworks helpdesk,API key,Self-serve,Full REST,~120 endpoints,Yes,Ready,Free trial; API on all paid plans,https://developers.freshdesk.com/api,3,developers.freshdesk.com JS-heavy; API-key (basic) auth verified via search snippets | Pass2
14,Front,Support and Helpdesk,Shared-inbox customer-ops platform,API key,Self-serve,Full REST,~180 endpoints,Yes,Ready,14-day trial then paid plan needed,https://dev.frontapp.com,3,
15,Pylon,Support and Helpdesk,B2B support (Slack-first helpdesk),API key,Gated,Narrow REST,~40 endpoints,Yes,Ready with caveats,"Product is sales-led; API docs public, keys via dashboard",https://docs.usepylon.com/api-reference/authentication,2,
16,LiveAgent,Support and Helpdesk,Helpdesk + live chat,API key,Self-serve,Narrow REST,~60 endpoints,No,Ready with caveats,API keys via agent dashboard; free plan lacks API,https://liveagent.com/api,2,
17,Plain,Support and Helpdesk,API-first customer support for dev tools,API key,Self-serve,GraphQL,"GraphQL schema, ~50 ops",Yes,Ready,,https://developers.plain.com,3,developer.plain.com blocks non-browser clients (connection reset); GraphQL docs verified live in browser | Pass2
18,Help Scout,Support and Helpdesk,Shared inbox + help center,API key,Self-serve,Full REST,~70 endpoints,No,Ready,,https://developer.helpscout.com/mailbox-api,3,
19,Gorgias,Support and Helpdesk,Ecommerce helpdesk (Shopify-native),Bearer token,Gated,Narrow REST,~50 endpoints,Yes,Ready with caveats,Paid plans only; trial requires demo call,https://developers.gorgias.com/reference,2,
20,Gladly,Support and Helpdesk,Customer-service platform (people-centric),Basic,Gated,Narrow REST,~40 endpoints,No,Blocked,Sales-led onboarding; API credentials via CSM,https://developer.gladly.com,2,
21,Slack,Communications and Messaging,Team chat platform,OAuth2,Self-serve,Full REST,~200 endpoints,Yes,Ready,,https://api.slack.com/authentication,3,App-level + user tokens; free workspace works.
22,Twilio,Communications and Messaging,SMS/voice/WhatsApp CPaaS,Basic,Self-serve,Full REST,~300 endpoints,Yes,Ready,,https://www.twilio.com/docs/iam/credentials/api,3,Basic auth with Account SID + auth token; API keys also supported | Pass2
23,Zoho Cliq,Communications and Messaging,Zoho team chat,OAuth2,Self-serve,Narrow REST,~40 endpoints,No,Ready with caveats,Docs are fine but deep features need Zoho bundle,https://www.zoho.com/cliq/help/restapi/api,2,
24,Lark,Communications and Messaging,Larksuite productivity + chat,Bearer token,Self-serve,Full REST,~400 endpoints,Yes,Ready,,https://open.larksuite.com/document/server-docs/getting-started/api-overview,3,Huge surface; app approval flow is self-serve.
25,Pumble,Communications and Messaging,Free team chat by CAKE.com,API key,Self-serve,Narrow REST,~25 endpoints,Yes,Ready,Small API surface (messaging-focused),https://pumble.com/help/integrations/automation-workflow-integrations/api-keys-integration/,5,Pass2: API addon docs at pumble-api-keys.addons.marketplace.cake.com/api-docs/ | Pass2: paid-workspace claim corrected; API keys on all plans
26,Discord,Communications and Messaging,Chat for communities/gamers,Bearer token,Open,Full REST,~100 endpoints,Yes,Ready,,https://discord.com/developers/docs/topics/oauth2,3,Bot-token flow verified; docs JS-rendered for bots | Pass2
27,Telegram,Communications and Messaging,Messaging platform,Bearer token,Open,Full REST,~100 methods,Yes,Ready,,https://core.telegram.org/bots/api,3,Bot API is fully open; MTProto is separate.
28,WhatsApp Business,Communications and Messaging,WhatsApp business messaging API,OAuth2,Gated,Full REST,~60 endpoints,Yes,Ready with caveats,Meta app review + business verification for production,https://developers.facebook.com/docs/whatsapp/cloud-api,3,developers.facebook.com returns 400 to bots; docs verified live in browser | Pass2
29,Aircall,Communications and Messaging,Cloud phone system,Basic,Self-serve,Narrow REST,~50 endpoints,Yes,Ready,Requires paid account; trial available,https://developer.aircall.io/api-references,3,
30,Vonage,Communications and Messaging,CPaaS (SMS/voice/video),Basic,Self-serve,Full REST,~200 endpoints,Yes,Ready,,https://developer.vonage.com/en/api,4,API key+secret or JWT. | Pass2: API catalog page (200)
31,Google Ads,"Marketing, Ads, Email and Social",Google advertising platform,OAuth2,Gated,SDK/CLI only,"gRPC API, ~400 resources",Yes,Blocked,Developer-token approval process; basic access is slow to get,https://developers.google.com/google-ads/api/docs/oauth/overview,3,Test accounts free; production needs approved dev token.
