id,field,value,note
37,auth,API key,Pass2: official help doc 'How to use the systeme.io public API' confirms API keys generated in account settings
37,gate,Self-serve,Pass2: keys self-serve; API available across plans
37,evidence,https://help.systeme.io/article/2323-how-to-use-systeme-io-public-api,Pass2: replaced guess with official help-center article (200 OK)
37,mcp,Yes,Pass2: systeme.io announced MCP feature for contact management; also listed in AI/MCP guides
37,verdict,Ready,Pass2: usable toolkit path today; narrow surface
37,breadth,~25 endpoints (contacts, tags, campaigns, products),Pass2
37,confidence,4,Pass2
54,evidence,https://docs.mrscraper.com/docs/api/authentication,Pass2: docs live; API token via x-api-token header
54,verdict,Ready,Pass2: token self-serve from dashboard; small but complete scraping API
54,confidence,4,Pass2
59,gate,Self-serve (paid),Pass2: public API docs found at docs.waterfall.io (v1)
59,surface,Narrow REST,Pass2: contact enrichment + verification endpoints
59,auth,API key,Pass2: docs show API-key authentication
59,verdict,Ready,Pass2: upgraded from Blocked - public docs exist
59,evidence,https://docs.waterfall.io/v1/introduction,Pass2
59,confidence,4,Pass2
59,notes,Pass2: pricing is sales-assisted but developer docs and key flow are public,Pass2
92,mcp,Yes,Pass2: official Otter MCP Server help article (ChatGPT/Cursor/Claude setup guides)
92,evidence,https://help.otter.ai/hc/en-us/articles/35287607569687-Otter-MCP-Server,Pass2: real article URL found via search
92,verdict,Ready with caveats,Pass2: agent access via Otter's own MCP; no public REST API for custom toolkits
92,blocker,Toolkit building limited to Otter's MCP server; custom API integrations enterprise-only,Pass2
92,confidence,4,Pass2
93,auth,API key,Pass2 CORRECTION: public API uses API keys (generate and first call in minutes) - Pass1 OAuth2/Gated was wrong
93,gate,Self-serve,Pass2: 'Anyone can use our API' per help center
93,mcp,Yes,Pass2: official MCP docs page on developers.fathom.ai
93,verdict,Ready,Pass2
93,blocker,Pass2: none - clear toolkit candidate,Pass2
93,evidence,https://developers.fathom.ai/api-overview,Pass2
93,confidence,5,Pass2
94,auth,API key,Pass2 CORRECTION: x-api-key header per official docs - Pass1 said OAuth2
94,gate,Self-serve,Pass2: create API key from API & MCP dashboard at consensus.app/api-mcp
94,mcp,Yes,Pass2: official MCP server (mcp.consensus.app) + docs page
94,verdict,Ready,Pass2
94,evidence,https://docs.consensus.app/api-get-started,Pass2
94,confidence,5,Pass2
94,notes,Pass2: single REST /v1/search endpoint; 400M+ papers; free tier then paid plans,Pass2
84,confidence,3,Pass2: verified absence of public docs - search surfaces only PSP adapter listings (IXOPAY, Google Pay gateway lists)
84,notes,Paygent appears as a Japanese PSP/IXOPAY adapter; no public developer portal for 'Paygent Connect',Pass2
85,confidence,4,Pass2: extensive search finds no API docs or developer portal - verified absence
85,notes,No developer footprint findable; treating as contact-sales only,Pass2
50,gate,Gated,Pass2: developer docs exist at dev-docs.fanbasis.com but are password-gated
50,evidence,https://dev-docs.fanbasis.com,Pass2: login wall observed
50,verdict,Blocked,Pass2
50,blocker,API docs live but behind a login wall; access requires partnership,Pass2
50,confidence,4,Pass2
97,evidence,https://docs.higgsfield.ai,Pass2: developer docs live with API-key auth
97,auth,API key,Pass2
97,confidence,4,Pass2
97,blocker,CLI-first product; API documented but sparse; credits-based,Pass2
99,verdict,Ready,Pass2: docs live; agent-friendly signup (key on first use; 100 free credits)
99,evidence,https://transcriptapi.com/docs/api/,Pass2
99,confidence,4,Pass2
100,gate,Self-serve (paid),Pass2: public developer docs; workspace API on Business plan
100,evidence,https://developers.grain.com/,Pass2
100,verdict,Ready with caveats,Pass2
100,blocker,Workspace API requires Business plan; recording-scoped tokens,Pass2
100,confidence,3,Pass2
25,auth,API key,Pass2 CORRECTION: public API with API keys generated in workspace settings - available on all plans
25,gate,Self-serve,Pass2
25,mcp,Yes,Pass2: Pumble AI/MCP guide documents MCP + AI assistant
25,verdict,Ready,Pass2
25,evidence,https://pumble.com/help/integrations/automation-workflow-integrations/api-keys-integration/,Pass2
25,confidence,5,Pass2
25,notes,Pass2: API addon docs at pumble-api-keys.addons.marketplace.cake.com/api-docs/,Pass2
4,evidence,https://docs.attio.com/rest-api/overview,Pass2: REST API overview live (200)
4,confidence,4,Pass2
30,evidence,https://developer.vonage.com/en/api,Pass2: API catalog page (200)
30,confidence,4,Pass2
82,evidence,https://plaid.com/docs/quickstart/,Pass2: quickstart confirms API keys + basic-style auth; sandbox self-serve
82,confidence,4,Pass2
67,auth,JWT,Pass2 CORRECTION: SQL API authenticates via key-pair JWT signing (OAuth also supported) - Pass1 said OAuth2
67,confidence,3,Pass2
81,evidence,https://docs.stripe.com/keys,Pass2: keys page live (200) and mentions API keys
81,confidence,5,Pass2
10,evidence,https://api.docs.dealcloud.com/,Pass2: docs live; API-key auth referenced
10,confidence,3,Pass2
10,notes,Docs public; credentials provisioned per client by Intapp - gated access,Pass2
69,evidence,https://docs.datadoghq.com/api/latest/authentication/,Pass2: authentication page live
69,confidence,5,Pass2
80,evidence,https://help.getharvest.com/api-v2/authentication-api/authentication/authentication/,Pass2: auth page live; OAuth2 + personal tokens
80,confidence,5,Pass2
71,evidence,https://developers.notion.com/docs/getting-started,Pass2: getting-started live; access-token flow
71,confidence,4,Pass2
48,auth,Bearer token,Pass2 CORRECTION: token-style access_token parameter - Pass1 said Basic
48,confidence,3,Pass2
17,notes,developer.plain.com blocks non-browser clients (connection reset); GraphQL docs verified live in browser,Pass2
17,confidence,3,Pass2
5,notes,docs.twenty.com paths return 404 to bots (SPA restructure); REST+GraphQL verified via search snippets and GitHub,Pass2
5,confidence,3,Pass2
91,evidence,https://cloud.google.com/notebooklm-enterprise,Pass2: NotebookLM Enterprise page live; no public developer API - MCP server is the agent path
91,confidence,4,Pass2
90,confidence,3,Pass2: searches surface only marketing pages; API is partner-gated
1,notes,developer.salesforce.com returns 403 to bots; REST API verified live in browser,Pass2
32,notes,developers.facebook.com returns 400 to bots; docs verified live in browser,Pass2
28,notes,developers.facebook.com returns 400 to bots; docs verified live in browser,Pass2
39,notes,developers.facebook.com returns 400 to bots; docs verified live in browser,Pass2
44,notes,developer.salesforce.com returns 403 to bots; docs verified live in browser,Pass2
11,notes,developer.zendesk.com returns 403 to bots; API reference verified live in browser,Pass2
77,notes,clickup.com/api returns 403 to bots; docs verified live in browser,Pass2
68,notes,mongodb.com bot-walls the API reference; verified via browser/search,Pass2
53,notes,docs.ahrefs.com (Mintlify) 404s to bots; API v3 access model verified via search snippets,Pass2
60,notes,docs.clay.com bot-blocks deep paths; docs verified live in browser,Pass2
57,notes,docs.brightdata.com JS-rendered for bots; verified live in browser,Pass2
52,notes,seranking.com/api.html JS-rendered; API-key auth verified via search snippets,Pass2
13,notes,developers.freshdesk.com JS-heavy; API-key (basic) auth verified via search snippets,Pass2
41,notes,shopify.dev JS-rendered for bots; OAuth2 + dev stores verified live in browser,Pass2
47,notes,api-docs.ecwid.com JS-rendered; OAuth2 verified via search snippets,Pass2
46,notes,developers.squarespace.com JS-rendered; OAuth2 + token verified via search snippets,Pass2
26,notes,Bot-token flow verified; docs JS-rendered for bots,Pass2
22,notes,Basic auth with Account SID + auth token; API keys also supported,Pass2
1,verdict,Ready with caveats,Pass2: API gated by edition; free dev org is the caveat
10,auth,API key,Pass2: api.docs.dealcloud.com references API-key authentication
59,blocker,,Pass2: stale blocker removed after verdict upgrade; docs are public
59,notes,Pass2: pricing is sales-assisted but developer docs and key flow are public,Pass2 cleanup
94,blocker,,Pass2: stale blocker removed; free tier then paid API plans
93,blocker,,Pass2: no blocker - clear toolkit candidate
25,blocker,Small API surface (messaging-focused),Pass2: paid-workspace claim corrected; API keys on all plans
54,mcp,Yes,Pass2: agent research loop drafted MCP=Yes (docs.mrscraper.com has an 'MCP Server' docs section); human verified the page (200 OK)
