id,name,category,website
1,Salesforce,CRM & Sales,salesforce.com
2,HubSpot,CRM & Sales,hubspot.com
3,Pipedrive,CRM & Sales,pipedrive.com
4,Attio,CRM & Sales,attio.com
5,Twenty,CRM & Sales,twenty.com
6,Podio,CRM & Sales,podio.com
7,Zoho CRM,CRM & Sales,zoho.com/crm
8,Close,CRM & Sales,close.com
9,Copper,CRM & Sales,copper.com
10,DealCloud,CRM & Sales,api.docs.dealcloud.com
11,Zendesk,Support & Helpdesk,zendesk.com
12,Intercom,Support & Helpdesk,intercom.com
13,Freshdesk,Support & Helpdesk,freshdesk.com
14,Front,Support & Helpdesk,front.com
15,Pylon,Support & Helpdesk,usepylon.com
16,LiveAgent,Support & Helpdesk,liveagent.com
17,Plain,Support & Helpdesk,plain.com
18,Help Scout,Support & Helpdesk,helpscout.com
19,Gorgias,Support & Helpdesk,gorgias.com
20,Gladly,Support & Helpdesk,gladly.com
21,Slack,Communications & Messaging,slack.com
22,Twilio,Communications & Messaging,twilio.com
23,Zoho Cliq,Communications & Messaging,zoho.com/cliq
24,Lark (Larksuite),Communications & Messaging,open.larksuite.com
25,Pumble,Communications & Messaging,pumble.com
26,Discord,Communications & Messaging,discord.com
27,Telegram,Communications & Messaging,core.telegram.org
28,WhatsApp Business,Communications & Messaging,developers.facebook.com/docs/whatsapp
29,Aircall,Communications & Messaging,aircall.io
30,Vonage,Communications & Messaging,developer.vonage.com
31,Google Ads,Marketing & Ads,developers.google.com/google-ads
32,Meta Ads,Marketing & Ads,developers.facebook.com/docs/marketing-apis
33,LinkedIn Ads,Marketing & Ads,learn.microsoft.com/linkedin/marketing
34,GoHighLevel,Marketing & Ads,highlevel.stoplight.io
35,Mailchimp,Marketing & Ads,mailchimp.com/developer
36,Klaviyo,Marketing & Ads,developers.klaviyo.com
37,systeme.io,Marketing & Ads,systeme.io
38,Pinterest,Marketing & Ads,developers.pinterest.com
39,Threads (Meta),Marketing & Ads,developers.facebook.com/docs/threads
40,SendGrid,Marketing & Ads,sendgrid.com
41,Shopify,Ecommerce,shopify.dev
42,WooCommerce,Ecommerce,woocommerce.com/document/woocommerce-rest-api
43,BigCommerce,Ecommerce,developer.bigcommerce.com
44,Salesforce Commerce Cloud,Ecommerce,developer.salesforce.com/docs/commerce
45,Magento (Adobe Commerce),Ecommerce,developer.adobe.com/commerce
46,Squarespace,Ecommerce,developers.squarespace.com
47,Ecwid,Ecommerce,api-docs.ecwid.com
48,Gumroad,Ecommerce,gumroad.com/api
49,Amazon Selling Partner,Ecommerce,developer-docs.amazon.com/sp-api
50,fanbasis,Ecommerce,fanbasis.com
51,DataForSEO,"Data, SEO & Scraping",docs.dataforseo.com
52,SE Ranking,"Data, SEO & Scraping",seranking.com/api
53,Ahrefs,"Data, SEO & Scraping",ahrefs.com/api
54,MrScraper,"Data, SEO & Scraping",docs.mrscraper.com
55,Apify,"Data, SEO & Scraping",docs.apify.com
56,Firecrawl,"Data, SEO & Scraping",firecrawl.dev
57,Bright Data,"Data, SEO & Scraping",brightdata.com
58,Sherlock,"Data, SEO & Scraping",github.com/sherlock-project/sherlock
59,Waterfall.io,"Data, SEO & Scraping",waterfall.io
60,Clay,"Data, SEO & Scraping",clay.com
61,GitHub,Developer & Infra,docs.github.com/rest
62,Vercel,Developer & Infra,vercel.com/docs/rest-api
63,Netlify,Developer & Infra,docs.netlify.com/api
64,Cloudflare,Developer & Infra,developers.cloudflare.com/api
65,Supabase,Developer & Infra,supabase.com/docs
66,Neo4j,Developer & Infra,neo4j.com/docs
67,Snowflake,Developer & Infra,docs.snowflake.com
68,MongoDB Atlas,Developer & Infra,mongodb.com/docs/atlas/api
69,Datadog,Developer & Infra,docs.datadoghq.com/api
70,Sentry,Developer & Infra,docs.sentry.io/api
71,Notion,Productivity & PM,developers.notion.com
72,Airtable,Productivity & PM,airtable.com/developers
73,Linear,Productivity & PM,developers.linear.app
74,Jira,Productivity & PM,developer.atlassian.com
75,Asana,Productivity & PM,developers.asana.com
76,Monday.com,Productivity & PM,developer.monday.com
77,ClickUp,Productivity & PM,clickup.com/api
78,Coda,Productivity & PM,coda.io/developers
79,Smartsheet,Productivity & PM,smartsheet.com/developers
80,Harvest,Productivity & PM,help.getharvest.com/api-v2
81,Stripe,Finance & Fintech,stripe.com/docs/api
82,Plaid,Finance & Fintech,plaid.com/docs
83,Binance,Finance & Fintech,binance-docs.github.io
84,Paygent Connect,Finance & Fintech,paygent (NMI-powered)
85,iPayX,Finance & Fintech,ipayx.ai/docs
86,QuickBooks,Finance & Fintech,developer.intuit.com
87,Xero,Finance & Fintech,developer.xero.com
88,Brex,Finance & Fintech,developer.brex.com
89,Ramp,Finance & Fintech,docs.ramp.com
90,PitchBook,Finance & Fintech,pitchbook.com
91,NotebookLM,"AI, Research & Media",cloud.google.com/gemini
92,Otter AI,"AI, Research & Media",help.otter.ai
93,Fathom,"AI, Research & Media",fathom.video
94,Consensus,"AI, Research & Media",consensus.app
95,Reducto,"AI, Research & Media",reducto.ai
96,Devin,"AI, Research & Media",docs.devin.ai
97,higgsfield,"AI, Research & Media",higgsfield.ai/cli
98,Mermaid CLI,"AI, Research & Media",github.com/mermaid-js/mermaid-cli
99,YouTube Transcript,"AI, Research & Media",transcriptapi.com
100,Grain,"AI, Research & Media",grain.com
