id,name,field,expected,agent_final,source_of_truth
4,Attio,auth,Bearer token,Bearer token,live fetch docs.attio.com/rest-api/overview (session probe 200)
5,Twenty,auth,Bearer token,Bearer token,docs SPA blocked; verified via search snippets + GitHub client code
7,Zoho CRM,auth,OAuth2,OAuth2,zoho.com/crm/developer/docs v6 auth pages
11,Zendesk,auth,Bearer token,Bearer token,developer.zendesk.com API reference (403 to bots; browser-verified)
13,Freshdesk,auth,API key,API key,developers.freshdesk.com API-key (basic) docs; search-verified
14,Front,auth,API key,API key,dev.frontapp.com 'API keys' page live; search snippets
21,Slack,auth,OAuth2,OAuth2,api.slack.com/authentication live (200) + search
22,Twilio,auth,Basic,Basic,twilio.com/docs/iam/credentials live (200); basic with SID+token
24,Lark,auth,Bearer token,Bearer token,open.larksuite.com get-access-token page (200)
26,Discord,auth,Bearer token,Bearer token,discord.com/developers OAuth2/bot-token docs
37,Systeme.io,auth,API key,API key,official help article live (200) 'generate API keys'
41,Shopify,auth,OAuth2,OAuth2,shopify.dev OAuth docs; browser-verified
42,WooCommerce,auth,HMAC,HMAC,HMAC key/secret signature over HTTPS; search-verified
48,Gumroad,auth,Bearer token,Bearer token,token-style access_token; LIVE PROBE CONFIRMED 2026-09-24
51,DataForSEO,auth,Basic,Basic,docs.dataforseo.com login-based API access; browser-verified
54,MrScraper,auth,API key,API key,x-api-token header; docs.mrscraper.com live
55,Apify,auth,Bearer token,Bearer token,docs.apify.com live (200) bearer token usage
56,Firecrawl,auth,Bearer token,Bearer token,docs.firecrawl.dev live (200) Authorization: Bearer
58,Sherlock,auth,None,None,GitHub README; CLI with no auth
61,GitHub,auth,Bearer token,Bearer token,docs.github.com live (200) token auth pages
64,Cloudflare,auth,Bearer token,Bearer token,developers.cloudflare.com/api live (200) API token
71,Notion,auth,OAuth2,OAuth2,developers.notion.com docs live (200) access-token flow
74,Jira,auth,Basic,Basic,developer.atlassian.com live (200) API token + basic
81,Stripe,auth,Bearer token,Bearer token,docs.stripe.com/keys live (200) API keys
83,Binance,auth,HMAC,HMAC,HMAC-SHA256 signing; developers.binance.com live (200)
91,NotebookLM,verdict,Blocked,Blocked,cloud.google.com/notebooklm-enterprise live (200); no public API; MCP is the agent path
96,Devin,auth,Bearer token,Bearer token,docs.devin.ai live (200) API key/bearer
93,Fathom,auth,API key,API key,developers.fathom.ai/api-overview live (200); 'Generate an API key'
93,Fathom,gate,Self-serve,Self-serve,help.fathom.video: 'Anyone can use our API'
93,Fathom,mcp,Yes,Yes,developers.fathom.ai/mcp-docs official MCP
93,Fathom,verdict,Ready,Ready,public API + SDKs + MCP all live
94,Consensus,auth,API key,API key,docs.consensus.app: x-api-key header shown in docs
94,Consensus,gate,Self-serve,Self-serve,key created from API & MCP dashboard at consensus.app/api-mcp
94,Consensus,mcp,Yes,Yes,consensus.app/home/mcp official MCP server
94,Consensus,verdict,Ready,Ready,docs + MCP live; free tier then paid
59,Waterfall,auth,API key,API key,docs.waterfall.io/v1/introduction live (200)
59,Waterfall,gate,Self-serve (paid),Self-serve (paid),public developer docs; sales-assisted pricing
59,Waterfall,surface,Narrow REST,Narrow REST,contact enrichment + verification endpoints documented
59,Waterfall,verdict,Ready,Ready,upgraded from Blocked after finding public docs
100,Grain,gate,Self-serve (paid),Self-serve (paid),developers.grain.com live; workspace API on Business plan
25,Pumble,mcp,Yes,Yes,pumble.com AI/MCP guide documents MCP support
25,Pumble,verdict,Ready,Ready,API keys on all plans; MCP documented
97,Higgsfield,auth,API key,API key,docs.higgsfield.ai live (200); API-key auth
67,Snowflake,auth,JWT,JWT,SQL API key-pair JWT signing docs
37,Systeme.io,mcp,Yes,Yes,systeme.io MCP feature announcement + AI guides
92,Otter AI,mcp,Yes,Yes,official Otter MCP Server help article (35287607569687)
50,Fanbasis,gate,Gated,Gated,dev-docs.fanbasis.com login wall observed
85,iPayX,verdict,Blocked,Blocked,verified absence: no docs or portal findable in searches
2,HubSpot,auth,OAuth2,OAuth2,developers.hubspot.com OAuth docs; browser-verified
62,Vercel,auth,Bearer token,Bearer token,vercel.com/docs/rest-api live (200)
75,Asana,auth,Bearer token,Bearer token,developers.asana.com live (200) PAT/OAuth
86,QuickBooks,auth,OAuth2,OAuth2,developer.intuit.com OAuth2 docs; browser-verified
